match_id,ronda_n,jugador,fase,es_mano,puntos_propios,puntos_rival,c1,c2,c3,c4,tengo_pares,tipo_pares,tengo_juego,suma_puntos,descartes_rival,rival_pares_deducido,es_juego_real,prob_grande,prob_chica,prob_pares,prob_juego,accion_realizada,cantidad_apostada,gano_ronda
1C9OGW,1,Otoman_John,mus,1,0,0,12,12,11,4,1,1,1,34,0,0,1,97.66,21.81,91.66,82.37,mus,0,0
1C9OGW,1,Jana,mus,0,0,0,12,11,5,1,0,0,0,26,0,0,0,73.18,59.37,0.0,48.78,mus,0,1
1C9OGW,1,Otoman_John,descarte,1,0,0,12,12,11,4,1,1,1,34,0,0,1,97.66,21.81,91.66,82.37,descarte,0,0
1C9OGW,1,Jana,descarte,0,0,0,12,11,5,1,0,0,0,26,1,0,0,73.18,59.37,0.0,48.78,descarte,0,1
1C9OGW,1,Otoman_John,mus,1,0,0,12,12,11,6,1,1,1,36,3,0,1,98.09,4.92,91.36,85.57,mus,0,0
1C9OGW,1,Jana,mus,0,0,0,12,11,5,1,0,0,0,26,1,0,0,72.7,63.01,0.0,46.96,mus,0,1
1C9OGW,1,Jana,descarte,0,0,0,12,11,5,1,0,0,0,26,1,0,0,72.7,63.01,0.0,46.96,descarte,0,1
1C9OGW,1,Otoman_John,descarte,1,0,0,12,12,11,6,1,1,1,36,6,0,1,98.09,4.92,91.36,85.57,descarte,0,0
1C9OGW,1,Otoman_John,mus,1,0,0,12,12,12,10,1,2,1,40,6,0,1,99.91,0.24,96.33,90.89,no_mus,0,0
1C9OGW,1,Otoman_John,Grande,1,0,0,12,12,12,10,1,2,1,40,6,0,1,99.91,0.24,96.33,90.89,envidar,2,0
1C9OGW,1,Jana,Grande,0,0,0,12,7,6,6,1,1,0,29,3,0,0,48.51,11.01,61.73,64.94,nover,0,1
1C9OGW,1,Otoman_John,Chica,1,1,0,12,12,12,10,1,2,1,40,6,0,1,99.91,0.24,96.33,90.89,pasar,0,0
1C9OGW,1,Jana,Chica,0,0,1,12,7,6,6,1,1,0,29,3,0,0,48.51,11.01,61.73,64.94,envidar,2,1
1C9OGW,1,Otoman_John,Chica,1,1,0,12,12,12,10,1,2,1,40,6,0,1,99.91,0.24,96.33,90.89,nover,0,0
1C9OGW,1,Otoman_John,Pares,1,1,1,12,12,12,10,1,2,1,40,6,1,1,99.91,0.24,93.45,92.12,envidar,2,0
1C9OGW,1,Jana,Pares,0,1,1,12,7,6,6,1,1,0,29,3,1,0,48.51,11.01,34.57,59.73,nover,0,1
1C9OGW,2,Jana,mus,1,1,6,12,11,6,4,0,0,0,30,0,0,0,76.14,26.27,42.69,75.19,mus,0,0
1C9OGW,2,Otoman_John,mus,0,6,1,12,10,5,5,1,1,0,30,0,0,0,61.83,17.74,62.04,72.14,mus,0,1
1C9OGW,2,Otoman_John,descarte,0,6,1,12,10,5,5,1,1,0,30,0,0,0,61.83,17.74,62.04,72.14,descarte,0,1
1C9OGW,2,Jana,descarte,1,1,6,12,11,6,4,0,0,0,30,1,0,0,76.14,26.27,42.69,75.19,descarte,0,0
1C9OGW,2,Jana,mus,1,1,6,12,7,1,1,1,1,0,19,1,0,0,46.88,89.88,55.93,15.43,mus,0,0
1C9OGW,2,Otoman_John,mus,0,6,1,12,12,5,5,1,3,0,30,3,0,0,89.81,16.51,99.34,74.45,no_mus,0,1
1C9OGW,2,Jana,Grande,1,1,6,12,7,1,1,1,1,0,19,1,0,0,46.88,89.88,55.93,15.43,envidar,2,0
1C9OGW,2,Otoman_John,Grande,0,6,1,12,12,5,5,1,3,0,30,3,0,0,89.81,16.51,99.34,74.45,subir,2,1
1C9OGW,2,Jana,Grande,1,1,6,12,7,1,1,1,1,0,19,1,0,0,46.88,89.88,55.93,15.43,nover,0,0
1C9OGW,2,Jana,Chica,1,1,8,12,7,1,1,1,1,0,19,1,0,0,46.88,89.88,55.93,15.43,envidar,2,0
1C9OGW,2,Otoman_John,Chica,0,8,1,12,12,5,5,1,3,0,30,3,0,0,89.81,16.51,99.34,74.45,nover,0,1
1C9OGW,2,Jana,Pares,1,2,8,12,7,1,1,1,1,0,19,1,1,0,46.88,89.88,20.29,24.32,pasar,0,0
1C9OGW,2,Otoman_John,Pares,0,8,2,12,12,5,5,1,3,0,30,3,1,0,89.81,16.51,98.84,72.08,envidar,2,1
1C9OGW,2,Jana,Pares,1,2,8,12,7,1,1,1,1,0,19,1,1,0,46.88,89.88,20.29,24.32,nover,0,0
1C9OGW,2,Jana,Juego,1,2,9,12,7,1,1,1,1,0,19,1,1,0,46.88,89.88,20.29,38.0,pasar,0,0
1C9OGW,2,Otoman_John,Juego,0,9,2,12,12,5,5,1,3,0,30,3,1,0,89.81,16.51,98.84,96.53,envidar,2,1
1C9OGW,2,Jana,Juego,1,2,9,12,7,1,1,1,1,0,19,1,1,0,46.88,89.88,20.29,38.0,nover,0,0
1C9OGW,3,Otoman_John,mus,1,14,2,7,7,4,1,1,1,0,19,0,0,0,8.04,76.67,66.35,15.86,mus,0,0
1C9OGW,3,Jana,mus,0,2,14,10,10,6,1,1,1,0,27,0,0,0,17.83,53.23,69.85,55.78,mus,0,1
