match_id,ronda_n,jugador,fase,es_mano,puntos_propios,puntos_rival,c1,c2,c3,c4,tengo_pares,tipo_pares,tengo_juego,suma_puntos,descartes_rival,rival_pares_deducido,es_juego_real,prob_grande,prob_chica,prob_pares,prob_juego,bote_grande,bote_chica,bote_pares,subida_pendiente,accion_realizada,cantidad_apostada,gano_ronda,origen_log
GTN1C4,1,Juan,mus,1,0,0,12,7,6,5,0,0,0,28,0,0,0,55.37,16.24,42.69,67.91,0,0,0,0,mus,0,0,GTN1C4.jsonl
GTN1C4,1,Jana,mus,0,0,0,12,10,5,1,0,0,0,26,0,0,0,60.58,60.58,0.0,48.78,0,0,0,0,mus,0,1,GTN1C4.jsonl
GTN1C4,1,Jana,descarte,0,0,0,12,10,5,1,0,0,0,26,0,0,0,60.58,60.58,0.0,48.78,0,0,0,0,descarte,0,1,GTN1C4.jsonl
GTN1C4,1,Juan,descarte,1,0,0,12,7,6,5,0,0,0,28,3,0,0,55.37,16.24,42.69,67.91,0,0,0,0,descarte,0,0,GTN1C4.jsonl
GTN1C4,1,Juan,mus,1,0,0,12,11,10,7,0,0,1,37,3,0,1,79.66,2.95,40.53,87.71,0,0,0,0,mus,0,0,GTN1C4.jsonl
GTN1C4,1,Jana,mus,0,0,0,12,6,4,1,0,0,0,21,3,0,0,41.07,79.3,0.0,17.52,0,0,0,0,mus,0,1,GTN1C4.jsonl
GTN1C4,1,Jana,descarte,0,0,0,12,6,4,1,0,0,0,21,3,0,0,41.07,79.3,0.0,17.52,0,0,0,0,descarte,0,1,GTN1C4.jsonl
GTN1C4,1,Juan,descarte,1,0,0,12,11,10,7,0,0,1,37,6,0,1,79.66,2.95,40.53,87.71,0,0,0,0,descarte,0,0,GTN1C4.jsonl
GTN1C4,1,Juan,mus,1,0,0,12,12,11,11,1,3,1,40,6,0,1,98.36,0.22,99.95,91.26,0,0,0,0,no_mus,0,0,GTN1C4.jsonl
GTN1C4,1,Juan,Grande,1,0,0,12,12,11,11,1,3,1,40,6,0,1,98.36,0.22,99.95,91.26,0,0,0,0,envidar,2,0,GTN1C4.jsonl
GTN1C4,1,Jana,Grande,0,0,0,12,11,1,1,1,1,0,22,5,0,0,61.43,92.96,46.03,15.27,0,0,0,2,nover,0,1,GTN1C4.jsonl
GTN1C4,1,Juan,Chica,1,1,0,12,12,11,11,1,3,1,40,6,0,1,98.36,0.22,99.95,91.26,0,0,0,0,pasar,0,0,GTN1C4.jsonl
GTN1C4,1,Jana,Chica,0,0,1,12,11,1,1,1,1,0,22,5,0,0,61.43,92.96,46.03,15.27,0,0,0,0,envidar,2,1,GTN1C4.jsonl
GTN1C4,1,Juan,Chica,1,1,0,12,12,11,11,1,3,1,40,6,0,1,98.36,0.22,99.95,91.26,0,0,0,2,nover,0,0,GTN1C4.jsonl
GTN1C4,1,Juan,Pares,1,1,1,12,12,11,11,1,3,1,40,6,1,1,98.36,0.22,99.92,91.27,0,0,0,0,envidar,2,0,GTN1C4.jsonl
GTN1C4,1,Jana,Pares,0,1,1,12,11,1,1,1,1,0,22,5,1,0,61.43,92.96,0.0,18.32,0,0,0,2,nover,0,1,GTN1C4.jsonl
GTN1C4,2,Jana,mus,1,1,7,11,4,4,1,1,1,0,19,0,0,0,21.9,83.55,55.38,16.17,0,0,0,0,mus,0,0,GTN1C4.jsonl
GTN1C4,2,Juan,mus,0,7,1,12,7,1,1,1,1,0,19,0,0,0,50.02,90.55,45.84,11.96,0,0,0,0,mus,0,1,GTN1C4.jsonl
GTN1C4,2,Jana,descarte,1,1,7,11,4,4,1,1,1,0,19,0,0,0,21.9,83.55,55.38,16.17,0,0,0,0,descarte,0,0,GTN1C4.jsonl
GTN1C4,2,Juan,descarte,0,7,1,12,7,1,1,1,1,0,19,1,0,0,50.02,90.55,45.84,11.96,0,0,0,0,descarte,0,1,GTN1C4.jsonl
GTN1C4,2,Jana,mus,1,1,7,10,4,4,1,1,1,0,19,1,0,0,11.91,82.74,55.44,17.54,0,0,0,0,mus,0,0,GTN1C4.jsonl
GTN1C4,2,Juan,mus,0,7,1,12,6,1,1,1,1,0,18,1,0,0,43.97,91.62,45.43,9.71,0,0,0,0,mus,0,1,GTN1C4.jsonl
GTN1C4,2,Jana,descarte,1,1,7,10,4,4,1,1,1,0,19,1,0,0,11.91,82.74,55.44,17.54,0,0,0,0,descarte,0,0,GTN1C4.jsonl
GTN1C4,2,Juan,descarte,0,7,1,12,6,1,1,1,1,0,18,2,0,0,43.97,91.62,45.43,9.71,0,0,0,0,descarte,0,1,GTN1C4.jsonl
GTN1C4,2,Jana,mus,1,1,7,4,4,1,1,1,3,0,10,2,0,0,0.15,98.76,96.11,0.67,0,0,0,0,no_mus,0,0,GTN1C4.jsonl
GTN1C4,2,Jana,Grande,1,1,7,4,4,1,1,1,3,0,10,2,0,0,0.15,98.76,96.11,0.67,0,0,0,0,pasar,0,0,GTN1C4.jsonl
GTN1C4,2,Juan,Grande,0,7,1,12,12,1,1,1,3,0,22,2,0,0,86.53,86.53,98.51,23.57,0,0,0,0,envidar,2,1,GTN1C4.jsonl
GTN1C4,2,Jana,Grande,1,1,7,4,4,1,1,1,3,0,10,2,0,0,0.15,98.76,96.11,0.67,0,0,0,2,nover,0,0,GTN1C4.jsonl
GTN1C4,2,Jana,Chica,1,1,8,4,4,1,1,1,3,0,10,2,0,0,0.15,98.76,96.11,0.67,0,0,0,0,envidar,2,0,GTN1C4.jsonl
GTN1C4,2,Juan,Chica,0,8,1,12,12,1,1,1,3,0,22,2,0,0,86.53,86.53,98.51,23.57,0,0,0,2,nover,0,1,GTN1C4.jsonl
GTN1C4,2,Jana,Pares,1,2,8,4,4,1,1,1,3,0,10,2,1,0,0.15,98.76,93.24,1.16,0,0,0,0,envidar,2,0,GTN1C4.jsonl
GTN1C4,2,Juan,Pares,0,8,2,12,12,1,1,1,3,0,22,2,1,0,86.53,86.53,97.21,30.57,0,0,0,2,subir,2,1,GTN1C4.jsonl
GTN1C4,2,Jana,Pares,1,2,8,4,4,1,1,1,3,0,10,2,1,0,0.15,98.76,93.24,1.16,0,0,0,2,ver,0,0,GTN1C4.jsonl
GTN1C4,2,Jana,Juego,1,2,8,4,4,1,1,1,3,0,10,2,1,0,0.15,98.76,93.24,1.85,0,0,4,0,pasar,0,0,GTN1C4.jsonl
GTN1C4,2,Juan,Juego,0,8,2,12,12,1,1,1,3,0,22,2,1,0,86.53,86.53,97.21,45.52,0,0,4,0,envidar,2,1,GTN1C4.jsonl
GTN1C4,2,Jana,Juego,1,2,8,4,4,1,1,1,3,0,10,2,1,0,0.15,98.76,93.24,1.85,0,0,4,2,nover,0,0,GTN1C4.jsonl
GTN1C4,3,Juan,mus,1,17,2,12,12,12,5,1,2,1,35,0,0,1,99.72,10.21,96.5,84.84,0,0,0,0,no_mus,0,0,GTN1C4.jsonl
GTN1C4,3,Juan,Grande,1,17,2,12,12,12,5,1,2,1,35,0,0,1,99.72,10.21,96.5,84.84,0,0,0,0,envidar,2,0,GTN1C4.jsonl
GTN1C4,3,Jana,Grande,0,2,17,4,1,1,1,1,2,0,7,0,0,0,0.01,99.94,92.17,0.01,0,0,0,2,nover,0,1,GTN1C4.jsonl
GTN1C4,3,Juan,Chica,1,18,2,12,12,12,5,1,2,1,35,0,0,1,99.72,10.21,96.5,84.84,0,0,0,0,pasar,0,0,GTN1C4.jsonl
GTN1C4,3,Jana,Chica,0,2,18,4,1,1,1,1,2,0,7,0,0,0,0.01,99.94,92.17,0.01,0,0,0,0,envidar,2,1,GTN1C4.jsonl
GTN1C4,3,Juan,Chica,1,18,2,12,12,12,5,1,2,1,35,0,0,1,99.72,10.21,96.5,84.84,0,0,0,2,nover,0,0,GTN1C4.jsonl
GTN1C4,3,Juan,Pares,1,18,3,12,12,12,5,1,2,1,35,0,1,1,99.72,10.21,93.62,83.27,0,0,0,0,envidar,2,0,GTN1C4.jsonl
GTN1C4,3,Jana,Pares,0,3,18,4,1,1,1,1,2,0,7,0,1,0,0.01,99.94,85.73,0.02,0,0,0,2,subir,4,1,GTN1C4.jsonl
GTN1C4,3,Juan,Pares,1,18,3,12,12,12,5,1,2,1,35,0,1,1,99.72,10.21,93.62,83.27,0,0,0,4,ver,0,0,GTN1C4.jsonl
GTN1C4,4,Jana,mus,1,3,28,12,10,4,1,0,0,0,25,0,0,0,60.12,73.93,44.43,47.12,0,0,0,0,mus,0,0,GTN1C4.jsonl
GTN1C4,4,Juan,mus,0,28,3,12,12,6,4,1,1,0,30,0,0,0,91.16,25.63,82.06,72.44,0,0,0,0,no_mus,0,1,GTN1C4.jsonl
GTN1C4,4,Juan,Grande,0,28,3,12,12,6,4,1,1,0,30,0,0,0,91.16,25.63,82.06,72.44,0,0,0,0,envidar,2,1,GTN1C4.jsonl
GTN1C4,4,Jana,Grande,1,3,28,12,10,4,1,0,0,0,25,0,0,0,60.12,73.93,44.43,47.12,0,0,0,2,ver,0,0,GTN1C4.jsonl
GTN1C4,4,Jana,Chica,1,3,28,12,10,4,1,0,0,0,25,0,0,0,60.12,73.93,44.43,47.12,2,0,0,0,envidar,2,0,GTN1C4.jsonl
GTN1C4,4,Juan,Chica,0,28,3,12,12,6,4,1,1,0,30,0,0,0,91.16,25.63,82.06,72.44,2,0,0,2,nover,0,1,GTN1C4.jsonl
GTN1C4,4,Jana,Juego,1,4,28,12,10,4,1,0,0,0,25,0,0,0,60.12,73.93,44.43,64.12,2,0,0,0,envidar,2,0,GTN1C4.jsonl
GTN1C4,4,Juan,Juego,0,28,4,12,12,6,4,1,1,0,30,0,-1,0,91.16,25.63,82.06,97.19,2,0,0,2,subir,2,1,GTN1C4.jsonl
GTN1C4,4,Jana,Juego,1,4,28,12,10,4,1,0,0,0,25,0,0,0,60.12,73.93,44.43,64.12,2,0,0,2,nover,0,0,GTN1C4.jsonl
GTN1C4,5,Juan,mus,1,34,4,12,6,1,1,1,1,0,18,0,0,0,45.18,92.77,55.54,11.33,0,0,0,0,mus,0,0,GTN1C4.jsonl
GTN1C4,5,Jana,mus,0,4,34,11,10,7,5,0,0,1,32,0,0,1,32.48,13.22,0.0,89.01,0,0,0,0,mus,0,1,GTN1C4.jsonl
GTN1C4,5,Jana,descarte,0,4,34,11,10,7,5,0,0,1,32,0,0,1,32.48,13.22,0.0,89.01,0,0,0,0,descarte,0,1,GTN1C4.jsonl
GTN1C4,5,Juan,descarte,1,34,4,12,6,1,1,1,1,0,18,4,0,0,45.18,92.77,55.54,11.33,0,0,0,0,descarte,0,0,GTN1C4.jsonl
GTN1C4,5,Juan,mus,1,34,4,12,1,1,1,1,2,0,13,4,0,0,39.24,99.55,93.58,1.92,0,0,0,0,no_mus,0,0,GTN1C4.jsonl
GTN1C4,5,Juan,Grande,1,34,4,12,1,1,1,1,2,0,13,4,0,0,39.24,99.55,93.58,1.92,0,0,0,0,envidar,2,0,GTN1C4.jsonl
GTN1C4,5,Jana,Grande,0,4,34,12,12,10,4,1,1,1,34,1,0,1,94.38,17.34,78.51,83.45,0,0,0,2,ordago,0,1,GTN1C4.jsonl
GTN1C4,5,Juan,Grande,1,34,4,12,1,1,1,1,2,0,13,4,0,0,39.24,99.55,93.58,1.92,0,0,0,40,nover,0,0,GTN1C4.jsonl
GTN1C4,5,Juan,Chica,1,34,6,12,1,1,1,1,2,0,13,4,0,0,39.24,99.55,93.58,1.92,0,0,0,0,envidar,2,0,GTN1C4.jsonl
